"ep_number","ep_title","restaurant","location","ep_air_date","yelp_string","index","freq_visited"
6,"Signature Sandwiches","La Pines Café","Slidell, Louisiana",2011-02-07,"La Pines Café Slidell Louisiana yelp",409,1
6,"Signature Sandwiches","Steuben’s Food Service","Denver, Colorado",2011-02-07,"Steuben’s Food Service Denver Colorado yelp",410,1
6,"Signature Sandwiches","3 Sisters Café","Indianapolis, Indiana",2011-02-07,"3 Sisters Café Indianapolis Indiana yelp",411,1
7,"Favorites With A Twist","Jimmy’s Down the Street","Coeur d’Alene, Idaho",2011-02-28,"Jimmy’s Down the Street Coeur d’Alene Idaho yelp",412,1
7,"Favorites With A Twist","Aunt Mary’s Café","Oakland, California",2011-02-28,"Aunt Mary’s Café Oakland California yelp",413,1
7,"Favorites With A Twist","Corey’s Catsup & Mustard","Manchester, Connecticut",2011-02-28,"Corey’s Catsup & Mustard Manchester Connecticut yelp",414,1
8,"Soup & Sandwiches","Pineville Tavern","Pineville, Pennsylvania",2011-03-07,"Pineville Tavern Pineville Pennsylvania yelp",415,1
8,"Soup & Sandwiches","Indy’s Historic Steer-In Restaurant","Indianapolis, Indiana",2011-03-07,"Indy’s Historic Steer-In Restaurant Indianapolis Indiana yelp",416,1
8,"Soup & Sandwiches","Dad’s Kitchen","Sacramento, California",2011-03-07,"Dad’s Kitchen Sacramento California yelp",417,1
9,"From Crepes to Kreplach","Ben’s Best Deli","Queens, New York",2011-03-14,"Ben’s Best Deli Queens New York yelp",418,1
9,"From Crepes to Kreplach","Foolish Craig’s Café","Boulder, Colorado",2011-03-14,"Foolish Craig’s Café Boulder Colorado yelp",419,1
9,"From Crepes to Kreplach","Waddell’s Pub & Grille","Spokane, Washington",2011-03-14,"Waddell’s Pub & Grille Spokane Washington yelp",420,1
10,"Fully Loaded","Katie’s Restaurant","New Orleans, Louisiana",2011-03-21,"Katie’s Restaurant New Orleans Louisiana yelp",421,1
10,"Fully Loaded","Jersey Café","Carmel, Indiana",2011-03-21,"Jersey Café Carmel Indiana yelp",422,1
10,"Fully Loaded","Merritt Canteen Inc.","Bridgeport, Connecticut",2011-03-21,"Merritt Canteen Inc. Bridgeport Connecticut yelp",423,1
11,"From Mozz to Matzo Balls","Sunflower Café","Sonoma, California",2011-03-28,"Sunflower Café Sonoma California yelp",424,1
11,"From Mozz to Matzo Balls","Hildebrandt’s","Williston Park, New York",2011-03-28,"Hildebrandt’s Williston Park New York yelp",425,1
11,"From Mozz to Matzo Balls","The Bagel Delicatessen & Restaurant","Denver, Colorado",2011-03-28,"The Bagel Delicatessen & Restaurant Denver Colorado yelp",426,2
12,"Signature Twists","The Barking Dog","Indianapolis, Indiana",2011-04-04,"The Barking Dog Indianapolis Indiana yelp",427,1
12,"Signature Twists","Putah Creek Café","Winters, California",2011-04-04,"Putah Creek Café Winters California yelp",428,1
12,"Signature Twists","The Old Coffee Pot Restaurant","New Orleans, Louisiana",2011-04-04,"The Old Coffee Pot Restaurant New Orleans Louisiana yelp",429,1
13,"Porktastic","Jimtown Store","Healdsburg, California",2011-04-11,"Jimtown Store Healdsburg California yelp",430,1
13,"Porktastic","Dough Pizzeria Napoletana","San Antonio, Texas",2011-04-11,"Dough Pizzeria Napoletana San Antonio Texas yelp",431,2
13,"Porktastic","Sam’s No. 3","Denver, Colorado",2011-04-11,"Sam’s No. 3 Denver Colorado yelp",432,1
1,"Bar Food and Bon Bons","The Sparrow Tavern","Queens, New York",2011-05-09,"The Sparrow Tavern Queens New York yelp",433,1
1,"Bar Food and Bon Bons","Catelli’s","Geyserville, California",2011-05-09,"Catelli’s Geyserville California yelp",434,1
1,"Bar Food and Bon Bons","Zest","Indianapolis, Indiana",2011-05-09,"Zest Indianapolis Indiana yelp",435,1
2,"From Kraut to Couscous","Lauer-Krauts","Brighton, Colorado",2011-05-16,"Lauer-Krauts Brighton Colorado yelp",436,1
2,"From Kraut to Couscous","Moroccan Bites","San Antonio, Texas",2011-05-16,"Moroccan Bites San Antonio Texas yelp",437,1
2,"From Kraut to Couscous","California Tacos To Go","Tampa, Florida",2011-05-16,"California Tacos To Go Tampa Florida yelp",438,1
3,"You Can Only Get It Here","HRD Coffee Shop","San Francisco, California",2011-05-23,"HRD Coffee Shop San Francisco California yelp",439,1
3,"You Can Only Get It Here","The Tamale Place","Indianapolis, Indiana",2011-05-23,"The Tamale Place Indianapolis Indiana yelp",440,1
3,"You Can Only Get It Here","Garifuna Flava","Chicago, Illinois",2011-05-23,"Garifuna Flava Chicago Illinois yelp",441,1
4,"Grillin’ and Smokin’","Bun ‘N Barrel","San Antonio, Texas",2011-09-12,"Bun ‘N Barrel San Antonio Texas yelp",442,1
4,"Grillin’ and Smokin’","Tocabe American Indian Eatery","Denver, Colorado",2011-09-12,"Tocabe American Indian Eatery Denver Colorado yelp",443,2
4,"Grillin’ and Smokin’","Munch’s Restaurant & Sundries","St. Petersburg, Florida",2011-09-12,"Munch’s Restaurant & Sundries St. Petersburg Florida yelp",444,1
5,"Southern Flavor","Broken Record","San Francisco, California",2011-09-19,"Broken Record San Francisco California yelp",445,1
5,"Southern Flavor","Bang!","Denver, Colorado",2011-09-19,"Bang! Denver Colorado yelp",446,1
5,"Southern Flavor","Jose’s Real Cuban Food","Bradenton, Florida",2011-09-19,"Jose’s Real Cuban Food Bradenton Florida yelp",447,1
6,"Gettin’ Fresh","The Sink","Boulder, Colorado",2011-09-26,"The Sink Boulder Colorado yelp",448,1
6,"Gettin’ Fresh","Nana Organic","Chicago, Illinois",2011-09-26,"Nana Organic Chicago Illinois yelp",449,1
6,"Gettin’ Fresh","Get Fresh Café","Norfolk, Virginia",2011-09-26,"Get Fresh Café Norfolk Virginia yelp",450,1
7,"Homemade & Homebrewed","Tampa Bay Brewing Co.","Tampa, Florida",2011-10-03,"Tampa Bay Brewing Co. Tampa Florida yelp",451,1
7,"Homemade & Homebrewed","Zydeco’s","Mooresville, Indiana",2011-10-03,"Zydeco’s Mooresville Indiana yelp",452,2
7,"Homemade & Homebrewed","Chilam Balam","Chicago, Illinois",2011-10-03,"Chilam Balam Chicago Illinois yelp",453,1
8,"Latin Street Food","Irazu","Chicago, Illinois",2011-10-10,"Irazu Chicago Illinois yelp",454,1
8,"Latin Street Food","Beto’s Comida Latina","San Antonio, Texas",2011-10-10,"Beto’s Comida Latina San Antonio Texas yelp",455,1
8,"Latin Street Food","Tortilleria Nixtamal","Queens, New York",2011-10-10,"Tortilleria Nixtamal Queens New York yelp",456,1
9,"Slammin' Sammies","Taco Taco Mexican Restaurant","San Antonio, Texas",2011-10-17,"Taco Taco Mexican Restaurant San Antonio Texas yelp",457,1
9,"Slammin' Sammies","Whitner's Barbeque","Virginia Beach, Virginia",2011-10-17,"Whitner's Barbeque Virginia Beach Virginia yelp",458,1
9,"Slammin' Sammies","DMK Burger Bar","Chicago, Illinois",2011-10-17,"DMK Burger Bar Chicago Illinois yelp",459,1
10,"Global Comfort","Rigoletto Italian Bakery & Café","Virginia Beach, Virginia",2011-10-24,"Rigoletto Italian Bakery & Café Virginia Beach Virginia yelp",460,2
10,"Global Comfort","Chuck’s Southern Comforts Café","Burbank, Illinois",2011-10-24,"Chuck’s Southern Comforts Café Burbank Illinois yelp",461,1
10,"Global Comfort","El Bohio","San Antonio, Texas",2011-10-24,"El Bohio San Antonio Texas yelp",462,1
11,"Breakfast, Lunch & Dinner","Magnolia Pancake Haus","San Antonio, Texas",2011-10-31,"Magnolia Pancake Haus San Antonio Texas yelp",463,1
11,"Breakfast, Lunch & Dinner","Taco Bus","Tampa, Florida",2011-10-31,"Taco Bus Tampa Florida yelp",464,1
11,"Breakfast, Lunch & Dinner","Beach Pub","Virginia Beach, Virginia",2011-10-31,"Beach Pub Virginia Beach Virginia yelp",465,1
12,"Pizza, Pancakes & Pork","Supino Pizzeria","Detroit, Michigan",2011-11-07,"Supino Pizzeria Detroit Michigan yelp",466,2
12,"Pizza, Pancakes & Pork","Big & Littles","Chicago, Illinois",2011-11-07,"Big & Littles Chicago Illinois yelp",467,1
12,"Pizza, Pancakes & Pork","Citrus Breakfast & Lunch","Virginia Beach, Virginia",2011-11-07,"Citrus Breakfast & Lunch Virginia Beach Virginia yelp",468,1
13,"Old to New","Polish Village Café","Hamtramck, Michigan",2011-11-21,"Polish Village Café Hamtramck Michigan yelp",469,1
13,"Old to New","Leaping Lizards Café","Virginia Beach, Virginia",2011-11-21,"Leaping Lizards Café Virginia Beach Virginia yelp",470,1
13,"Old to New","Jethros Fine Grub","Vancouver, British Columbia",2011-11-21,"Jethros Fine Grub Vancouver British Columbia yelp",471,1
1,"Seafood & Sammies","Fresh Local Wild","Vancouver, British Columbia",2011-11-28,"Fresh Local Wild Vancouver British Columbia yelp",472,2
1,"Seafood & Sammies","Traffic Jam & Snug","Detroit, Michigan",2011-11-28,"Traffic Jam & Snug Detroit Michigan yelp",473,1
1,"Seafood & Sammies","Panozzo's Italian Market","Chicago, Illinois",2011-11-28,"Panozzo's Italian Market Chicago Illinois yelp",474,1
2,"Coast to Coast Classics","Tomahawk Restaurant","North Vancouver, British Columbia",2011-12-05,"Tomahawk Restaurant North Vancouver British Columbia yelp",475,1
2,"Coast to Coast Classics","Danny's All American Diner","Tampa, Florida",2011-12-05,"Danny's All American Diner Tampa Florida yelp",476,1
3,"Kid Rock's Detroit Tour","Clarkston Union Bar & Kitchen","Clarkston, Michigan",2011-12-12,"Clarkston Union Bar & Kitchen Clarkston Michigan yelp",477,1
3,"Kid Rock's Detroit Tour","Union Woodshop","Clarkston, Michigan",2011-12-12,"Union Woodshop Clarkston Michigan yelp",478,1
3,"Kid Rock's Detroit Tour","Michigan Brewing Co.","Webberville, Michigan",2011-12-12,"Michigan Brewing Co. Webberville Michigan yelp",479,1
4,"Southern Staples","Red Wagon Café","Vancouver, British Columbia",2011-12-19,"Red Wagon Café Vancouver British Columbia yelp",480,1
4,"Southern Staples","Perfectly Franks","Summerville, South Carolina",2011-12-19,"Perfectly Franks Summerville South Carolina yelp",481,1
4,"Southern Staples","Mama's Food Shop","Manhattan, New York",2011-12-19,"Mama's Food Shop Manhattan New York yelp",482,1
5,"Scratch Made Classics","Lito's Mexican Restaurant","Santa Barbara, California",2011-12-26,"Lito's Mexican Restaurant Santa Barbara California yelp",483,1
5,"Scratch Made Classics","Save On Meats","Vancouver, British Columbia",2011-12-26,"Save On Meats Vancouver British Columbia yelp",484,1
5,"Scratch Made Classics","The Redhead","Manhattan, New York",2011-12-26,"The Redhead Manhattan New York yelp",485,1
6,"Meat Madness","Rincon Criollo","Queens, New York",2012-01-16,"Rincon Criollo Queens New York yelp",486,2
6,"Meat Madness","Tattooed Moose","Charleston, South Carolina",2012-01-16,"Tattooed Moose Charleston South Carolina yelp",487,1
6,"Meat Madness","Falconetti's","Vancouver, British Columbia",2012-01-16,"Falconetti's Vancouver British Columbia yelp",488,1
7,"Global Traditions","John's of 12th Street","Manhattan, New York",2012-01-23,"John's of 12th Street Manhattan New York yelp",489,1
7,"Global Traditions","Mac's Fish & Chip Shop","Santa Barbara, California",2012-01-23,"Mac's Fish & Chip Shop Santa Barbara California yelp",490,1
8,"Multitaskers","The Early Bird Diner","Charleston, South Carolina",2012-01-30,"The Early Bird Diner Charleston South Carolina yelp",491,1
8,"Multitaskers","Boulevard Diner","Dundalk, Maryland",2012-01-30,"Boulevard Diner Dundalk Maryland yelp",492,1
8,"Multitaskers","The Kitchen","Oxnard, California",2012-01-30,"The Kitchen Oxnard California yelp",493,1
9,"Family Matters","Sidecar","Brooklyn, New York",2012-02-06,"Sidecar Brooklyn New York yelp",494,1
9,"Family Matters","Peaceful Restaurant","Vancouver, British Columbia",2012-02-06,"Peaceful Restaurant Vancouver British Columbia yelp",495,1
9,"Family Matters","Flip Flops Grill & Chill","Virginia Beach, Virginia",2012-02-06,"Flip Flops Grill & Chill Virginia Beach Virginia yelp",496,1
10,"Old Faves, New Craves","Norton's Pastrami & Deli","Santa Barbara, California",2012-02-13,"Norton's Pastrami & Deli Santa Barbara California yelp",497,1
10,"Old Faves, New Craves","Meat & Bread","Vancouver, British Columbia",2012-02-13,"Meat & Bread Vancouver British Columbia yelp",498,1
10,"Old Faves, New Craves","Fuel Cantina","Charleston, South Carolina",2012-02-13,"Fuel Cantina Charleston South Carolina yelp",499,1
11,"Long Standing Legacies","Defonte's Sandwich Shop","Brooklyn, New York",2012-02-20,"Defonte's Sandwich Shop Brooklyn New York yelp",500,1
11,"Long Standing Legacies","The Glass Onion","Charleston, South Carolina",2012-02-20,"The Glass Onion Charleston South Carolina yelp",501,2
11,"Long Standing Legacies","Galway Bay Irish Pub","Annapolis, Maryland",2012-02-20,"Galway Bay Irish Pub Annapolis Maryland yelp",502,1
12,"Time Tested Treasures","R&R Taqueria","Elkridge, Maryland",2012-02-27,"R&R Taqueria Elkridge Maryland yelp",503,1
12,"Time Tested Treasures","Nye's Polonaise Room","Minneapolis, Minnesota",2012-02-27,"Nye's Polonaise Room Minneapolis Minnesota yelp",504,1
12,"Time Tested Treasures","Moseberth's Fried Chicken","Portsmouth, Virginia",2012-02-27,"Moseberth's Fried Chicken Portsmouth Virginia yelp",505,1
13,"Outside the Box","Joe Squared Pizza","Baltimore, Maryland",2012-03-05,"Joe Squared Pizza Baltimore Maryland yelp",506,1
13,"Outside the Box","Pepe's and Mito's","Dallas, Texas",2012-03-05,"Pepe's and Mito's Dallas Texas yelp",507,1
13,"Outside the Box","Savoy Café & Deli","Santa Barbara, California",2012-03-05,"Savoy Café & Deli Santa Barbara California yelp",508,1
1,"Triple D All Stars","Pizzeria Lola","Minneapolis, Minnesota",2012-04-02,"Pizzeria Lola Minneapolis Minnesota yelp",509,1
1,"Triple D All Stars","Monument Cafe","Georgetown, Texas",2012-04-02,"Monument Cafe Georgetown Texas yelp",510,1
2,"Streamlined Sammies","Luke's Inside Out","Austin, Texas",2012-04-09,"Luke's Inside Out Austin Texas yelp",511,2
2,"Streamlined Sammies","Smack Shack at The 1029 Bar","Minneapolis, Minnesota",2012-04-09,"Smack Shack at The 1029 Bar Minneapolis Minnesota yelp",512,1
2,"Streamlined Sammies","Maple & Motor","Dallas, Texas",2012-04-09,"Maple & Motor Dallas Texas yelp",513,2
3,"Crankin' Up the Classics","Broders' Cucina Italiana","Minneapolis, Minnesota",2012-04-16,"Broders' Cucina Italiana Minneapolis Minnesota yelp",514,1
3,"Crankin' Up the Classics","Chop House Burgers","Arlington, Texas",2012-04-16,"Chop House Burgers Arlington Texas yelp",515,1
4,"Passin' The Baton","Pete's Breakfast House","Ventura, California",2012-04-23,"Pete's Breakfast House Ventura California yelp",516,1
4,"Passin' The Baton","Sip & Bite Restaurant","Baltimore, Maryland",2012-04-23,"Sip & Bite Restaurant Baltimore Maryland yelp",517,1
5,"Big Time Flavor","Marla's Caribbean Cuisine","Minneapolis, Minnesota",2012-04-30,"Marla's Caribbean Cuisine Minneapolis Minnesota yelp",518,1
5,"Big Time Flavor","Cane Rosso","Dallas, Texas",2012-04-30,"Cane Rosso Dallas Texas yelp",519,1
5,"Big Time Flavor","Counter Cafe","Austin, Texas",2012-04-30,"Counter Cafe Austin Texas yelp",520,1
6,"Unexpected Eats","Smalley's Caribbean Barbeque","Stillwater, Minnesota",2012-05-07,"Smalley's Caribbean Barbeque Stillwater Minnesota yelp",521,1
6,"Unexpected Eats","Johnny Garlic's","Santa Rosa, California",2012-05-07,"Johnny Garlic's Santa Rosa California yelp",522,1
6,"Unexpected Eats","Harvey's Hot Dogs II","Portsmouth, Virginia",2012-05-07,"Harvey's Hot Dogs II Portsmouth Virginia yelp",523,1
7,"BBQ Road Show","Pecan Lodge","Dallas, Texas",2012-05-28,"Pecan Lodge Dallas Texas yelp",524,1
7,"BBQ Road Show","John Mull's Meats and Road Kill Grill","Las Vegas, Nevada",2012-05-28,"John Mull's Meats and Road Kill Grill Las Vegas Nevada yelp",525,1
8,"All Vegas, All the Time","Naked City Pizza","Las Vegas, Nevada",2012-06-04,"Naked City Pizza Las Vegas Nevada yelp",526,2
8,"All Vegas, All the Time","Forte European Tapas Bar & Bistro","Las Vegas, Nevada",2012-06-04,"Forte European Tapas Bar & Bistro Las Vegas Nevada yelp",527,2
8,"All Vegas, All the Time","UNLV","Las Vegas, Nevada",2012-06-04,"UNLV Las Vegas Nevada yelp",528,2
9,"Serious Sandwiches","Lola's - A Louisiana Kitchen","Las Vegas, Nevada",2012-06-11,"Lola's - A Louisiana Kitchen Las Vegas Nevada yelp",529,1
9,"Serious Sandwiches","Noble Pig Sandwiches","Austin, Texas",2012-06-11,"Noble Pig Sandwiches Austin Texas yelp",530,1
9,"Serious Sandwiches","Casper & Runyon's Nook","St. Paul, Minnesota",2012-06-11,"Casper & Runyon's Nook St. Paul Minnesota yelp",531,1
10,"International Eats","Bachi Burger","Las Vegas, Nevada",2012-06-18,"Bachi Burger Las Vegas Nevada yelp",532,2
10,"International Eats","Afrah","Richardson, Texas",2012-06-18,"Afrah Richardson Texas yelp",533,1
10,"International Eats","Gazala's Place","Manhattan, New York",2012-06-18,"Gazala's Place Manhattan New York yelp",534,1
11,"Belly Up","Hopleaf Bar","Chicago, Illinois",2012-06-25,"Hopleaf Bar Chicago Illinois yelp",535,1
11,"Belly Up","Foreign & Domestic","Austin, Texas",2012-06-25,"Foreign & Domestic Austin Texas yelp",536,1
12,"Dynamic Dishes","Jawaiian Irie Jerk Restaurant","Honolulu, Hawaii",2012-07-02,"Jawaiian Irie Jerk Restaurant Honolulu Hawaii yelp",537,2
12,"Dynamic Dishes","Taste of Europe","Arlington, Texas",2012-07-02,"Taste of Europe Arlington Texas yelp",538,1
12,"Dynamic Dishes","Yayo Taco","Las Vegas, Nevada",2012-07-02,"Yayo Taco Las Vegas Nevada yelp",539,1
13,"Coast to Coast Chow","Camille's on Wheels","Kailua, Hawaii",2012-07-30,"Camille's on Wheels Kailua Hawaii yelp",540,1
13,"Coast to Coast Chow","Chicago Brauhaus","Chicago, Illinois",2012-07-30,"Chicago Brauhaus Chicago Illinois yelp",541,1
13,"Coast to Coast Chow","Dixie Supply Bakery & Cafe","Charleston, South Carolina",2012-07-30,"Dixie Supply Bakery & Cafe Charleston South Carolina yelp",542,1
1,"Unconventional Comforts","He'eia Kea Pier General Store and Deli","Kaneohe, Hawaii",2012-08-05,"He'eia Kea Pier General Store and Deli Kaneohe Hawaii yelp",543,1
1,"Unconventional Comforts","Rex Italian Foods","Norridge, Illinois",2012-08-05,"Rex Italian Foods Norridge Illinois yelp",544,1
1,"Unconventional Comforts","Memphis Street Cafe","Hernando, Mississippi",2012-08-05,"Memphis Street Cafe Hernando Mississippi yelp",545,1
2,"Goin' the Extra Mile","bopNgrill","Chicago, Illinois",2012-08-13,"bopNgrill Chicago Illinois yelp",546,1
2,"Goin' the Extra Mile","Sweet Home Waimanalo","Waimanalo, Hawaii",2012-08-13,"Sweet Home Waimanalo Waimanalo Hawaii yelp",547,1
3,"Savory Standouts","90 Miles Cuban Cafe","Chicago, Illinois",2012-08-19,"90 Miles Cuban Cafe Chicago Illinois yelp",548,2
3,"Savory Standouts","Davis' Pub","Annapolis, Maryland",2012-08-19,"Davis' Pub Annapolis Maryland yelp",549,1
4,"Surf 'N' Turf Jackpot","Memphis Barbecue Co.","Horn Lake, Mississippi",2012-08-27,"Memphis Barbecue Co. Horn Lake Mississippi yelp",550,1
4,"Surf 'N' Turf Jackpot","Fresh Catch","Honolulu, Hawaii",2012-08-27,"Fresh Catch Honolulu Hawaii yelp",551,1
5,"Massachusetts Madness","Italian Express Pizzeria","East Boston, Massachusetts",2012-09-03,"Italian Express Pizzeria East Boston Massachusetts yelp",552,1
5,"Massachusetts Madness","Cutty's","Brookline, Massachusetts",2012-09-03,"Cutty's Brookline Massachusetts yelp",553,1
6,"East Coast Comfort","Tupelo","Cambridge, Massachusetts",2012-09-24,"Tupelo Cambridge Massachusetts yelp",554,1
6,"East Coast Comfort","Patti's Pierogis","Fall River, Massachusetts",2012-09-24,"Patti's Pierogis Fall River Massachusetts yelp",555,1
6,"East Coast Comfort","Angelo's Civito Farnese","Providence, Rhode Island",2012-09-24,"Angelo's Civito Farnese Providence Rhode Island yelp",556,1
6,"East Coast Comfort","Mediterraneo Caffe","Providence, Rhode Island",2012-09-24,"Mediterraneo Caffe Providence Rhode Island yelp",557,1
7,"Flavortown Medley","South Of Beale (SOB)","Memphis, Tennessee",2012-10-01,"South Of Beale (SOB) Memphis Tennessee yelp",558,1
7,"Flavortown Medley","Big Wave Shrimp Truck","Haleiwa, Hawaii",2012-10-01,"Big Wave Shrimp Truck Haleiwa Hawaii yelp",559,1
7,"Flavortown Medley","Chaps Pit Beef","Baltimore, Maryland",2012-10-01,"Chaps Pit Beef Baltimore Maryland yelp",560,2
8,"Burgers, Noodles and Quahogs","Boston Burger Company","Boston, Massachusetts",2012-10-08,"Boston Burger Company Boston Massachusetts yelp",561,1
8,"Burgers, Noodles and Quahogs","Anthony's Seafood","Middletown, Rhode Island",2012-10-08,"Anthony's Seafood Middletown Rhode Island yelp",562,1
8,"Burgers, Noodles and Quahogs","Guerilla Street Food","St. Louis, Missouri",2012-10-08,"Guerilla Street Food St. Louis Missouri yelp",563,1
9,"Handcrafted","The Elegant Farmer","Mukwonago, Wisconsin",2012-10-15,"The Elegant Farmer Mukwonago Wisconsin yelp",564,1
9,"Handcrafted","Italian Corner","East Providence, Rhode Island",2012-10-15,"Italian Corner East Providence Rhode Island yelp",565,1
10,"All Family, All the Time","Anthonino's Taverna","St. Louis, Missouri",2012-10-22,"Anthonino's Taverna St. Louis Missouri yelp",566,1
10,"All Family, All the Time","Three Angels Diner","Memphis, Tennessee",2012-10-22,"Three Angels Diner Memphis Tennessee yelp",567,1
10,"All Family, All the Time","Opal Thai Food","Haleiwa, Hawaii",2012-10-22,"Opal Thai Food Haleiwa Hawaii yelp",568,2
11,"Food Done Right","Aunt Carrie's","Narragansett, Rhode Island",2012-10-29,"Aunt Carrie's Narragansett Rhode Island yelp",569,1
11,"Food Done Right","The Shaved Duck","St. Louis, Missouri",2012-10-29,"The Shaved Duck St. Louis Missouri yelp",570,1
11,"Food Done Right","Angela's Cafe","East Boston, Massachusetts",2012-10-29,"Angela's Cafe East Boston Massachusetts yelp",571,1
12,"Pubs and Grub","Dressel's Public House","St. Louis, Missouri",2012-11-05,"Dressel's Public House St. Louis Missouri yelp",572,1
12,"Pubs and Grub","Outer Banks Brewing Station","Kill Devil Hills, North Carolina",2012-11-05,"Outer Banks Brewing Station Kill Devil Hills North Carolina yelp",573,1
12,"Pubs and Grub","Edgewood Cafe","Cranston, Rhode Island",2012-11-05,"Edgewood Cafe Cranston Rhode Island yelp",574,1
13,"Turn On Traditional","Kitty Hoynes","Syracuse, New York",2012-11-12,"Kitty Hoynes Syracuse New York yelp",575,1
13,"Turn On Traditional","Espino's Mexican Bar and Grill","Chesterfield, Missouri",2012-11-12,"Espino's Mexican Bar and Grill Chesterfield Missouri yelp",576,1
13,"Turn On Traditional","Yankee Lobster Company","Boston, Massachusetts",2012-11-12,"Yankee Lobster Company Boston Massachusetts yelp",577,1
1,"Authentic Eats","Highway 61 Roadhouse and Kitchen","Webster Groves, Missouri",2012-12-10,"Highway 61 Roadhouse and Kitchen Webster Groves Missouri yelp",578,1
1,"Authentic Eats","Byblos Mediterranean Cafe","Syracuse, New York",2012-12-10,"Byblos Mediterranean Cafe Syracuse New York yelp",579,1
2,"Fully Focused","Brine and Bottle","Nags Head, North Carolina",2012-12-17,"Brine and Bottle Nags Head North Carolina yelp",580,1
2,"Fully Focused","Pastabilities","Syracuse, New York",2012-12-17,"Pastabilities Syracuse New York yelp",581,1
3,"Far Out","La Isla Restaurant","Hoboken, New Jersey",2012-12-24,"La Isla Restaurant Hoboken New Jersey yelp",582,1
3,"Far Out","Funk 'n Waffles","Syracuse, New York",2012-12-24,"Funk 'n Waffles Syracuse New York yelp",583,1
3,"Far Out","Cravings","Duck, North Carolina",2012-12-24,"Cravings Duck North Carolina yelp",584,1
4,"Matches Made in Heaven","Ortegaz' Southwestern Grill","Manteo, North Carolina",2013-01-07,"Ortegaz' Southwestern Grill Manteo North Carolina yelp",585,1
4,"Matches Made in Heaven","The Smoke Joint","Brooklyn, New York",2013-01-07,"The Smoke Joint Brooklyn New York yelp",586,1
5,"Savory Sensations","The Weeping Radish","Jarvisburg, North Carolina",2013-01-14,"The Weeping Radish Jarvisburg North Carolina yelp",587,1
5,"Savory Sensations","Jimmy’s Diner","Brooklyn, New York",2013-01-14,"Jimmy’s Diner Brooklyn New York yelp",588,1
6,"Hometown Haunts","Marie's Italian Specialties","Chatham, New Jersey",2013-01-21,"Marie's Italian Specialties Chatham New Jersey yelp",589,1
6,"Hometown Haunts","Darby's Cafe","Olympia, Washington",2013-01-21,"Darby's Cafe Olympia Washington yelp",590,1
7,"Land to Sea","Empire Brewing Company","Syracuse, New York",2013-02-11,"Empire Brewing Company Syracuse New York yelp",591,1
7,"Land to Sea","Black Pelican Oceanfront Restaurant","Kitty Hawk, North Carolina",2013-02-11,"Black Pelican Oceanfront Restaurant Kitty Hawk North Carolina yelp",592,1
7,"Land to Sea","Fish Tale Brew Pub","Olympia, Washington",2013-02-11,"Fish Tale Brew Pub Olympia Washington yelp",593,1
8,"Decadent Dishes","Crockett's Public House","Puyallup, Washington",2013-02-18,"Crockett's Public House Puyallup Washington yelp",594,1
8,"Decadent Dishes","Pies 'N' Thighs","Brooklyn, New York",2013-02-18,"Pies 'N' Thighs Brooklyn New York yelp",595,1
9,"Eurocentric","Eva's European Sweets","Syracuse, New York",2013-02-24,"Eva's European Sweets Syracuse New York yelp",596,1
9,"Eurocentric","Bruno's European Restaurant","Tacoma, Washington",2013-02-24,"Bruno's European Restaurant Tacoma Washington yelp",597,1
9,"Eurocentric","Hey Meatball","Toronto, Ontario, Canada",2013-02-24,"Hey Meatball Toronto Ontario Canada yelp",598,1
10,"Hittin' the Grill","Crown Bar","Tacoma, Washington",2013-03-04,"Crown Bar Tacoma Washington yelp",599,1
10,"Hittin' the Grill","The Golden State","Los Angeles, California",2013-03-04,"The Golden State Los Angeles California yelp",600,1
11,"Unlikely Partners","Beer Belly","Los Angeles, California",2013-03-11,"Beer Belly Los Angeles California yelp",601,1
11,"Unlikely Partners","Lakeview Restaurant","Toronto, Ontario, Canada",2013-03-11,"Lakeview Restaurant Toronto Ontario Canada yelp",602,1
12,"Layers of Flavor","Tortugas' Lie","Nags Head, North Carolina",2013-03-18,"Tortugas' Lie Nags Head North Carolina yelp",603,2
12,"Layers of Flavor","The Ace","Toronto, Ontario, Canada",2013-03-18,"The Ace Toronto Ontario Canada yelp",604,1
13,"Real Deal Roots","Chomp Chomp Nation","Irvine, California",2013-03-25,"Chomp Chomp Nation Irvine California yelp",605,1
13,"Real Deal Roots","Caplansky's","Toronto, Ontario, Canada",2013-03-25,"Caplansky's Toronto Ontario Canada yelp",606,1
1,"Tacos and Tots","Dirty Oscar's Annex","Tacoma, Washington",2013-04-22,"Dirty Oscar's Annex Tacoma Washington yelp",607,1
1,"Tacos and Tots","Highland Tavern","Denver, Colorado",2013-04-22,"Highland Tavern Denver Colorado yelp",608,2
2,"Chicken, Chili and Chowder","Sidecar Bar and Grille","Philadelphia, Pennsylvania",2013-04-29,"Sidecar Bar and Grille Philadelphia Pennsylvania yelp",609,1
2,"Chicken, Chili and Chowder","Chili John's","Burbank, California",2013-04-29,"Chili John's Burbank California yelp",610,1
2,"Chicken, Chili and Chowder","Stockyards Smokehouse and Larder","Toronto, Ontario, Canada",2013-04-29,"Stockyards Smokehouse and Larder Toronto Ontario Canada yelp",611,1
3,"Dynamic Duos","Atomic Cowboy","Denver, Colorado",2013-05-06,"Atomic Cowboy Denver Colorado yelp",612,1
