"ep_number","ep_title","restaurant","location","ep_air_date","yelp_string","index","freq_visited"
1,"Big Breakfast","Brownstone Diner","Jersey City, New Jersey",2008-03-10,"Brownstone Diner Jersey City New Jersey yelp",83,1
1,"Big Breakfast","39th Street Mama's","Kansas City, Missouri",2008-03-10,"39th Street Mama's Kansas City Missouri yelp",84,1
1,"Big Breakfast","Matt's Big Breakfast","Phoenix, Arizona",2008-03-10,"Matt's Big Breakfast Phoenix Arizona yelp",85,1
2,"Like Mamma Made","Roberto's Mexican Food","Phoenix, Arizona",2008-03-17,"Roberto's Mexican Food Phoenix Arizona yelp",86,1
2,"Like Mamma Made","Smokey Valley Truck Stop","Olive Hill, Kentucky",2008-03-17,"Smokey Valley Truck Stop Olive Hill Kentucky yelp",87,1
2,"Like Mamma Made","Sweetie Pie's","St. Louis, Missouri",2008-03-17,"Sweetie Pie's St. Louis Missouri yelp",88,1
3,"Regional Favorites","Charlie Parker's","Springfield, Illinois",2008-03-24,"Charlie Parker's Springfield Illinois yelp",89,1
3,"Regional Favorites","Tecolote Café","Santa Fe, New Mexico",2008-03-24,"Tecolote Café Santa Fe New Mexico yelp",90,1
3,"Regional Favorites","Virginia Diner","Wakefield, Virginia",2008-03-24,"Virginia Diner Wakefield Virginia yelp",91,1
4,"Neighborhood Joints","Thee Pitts Again","Silverton, Colorado",2008-03-31,"Thee Pitts Again Silverton Colorado yelp",92,1
4,"Neighborhood Joints","Iron Barley","St. Louis, Missouri",2008-03-31,"Iron Barley St. Louis Missouri yelp",93,1
4,"Neighborhood Joints","Daddypops","Hatboro, Pennsylvania",2008-03-31,"Daddypops Hatboro Pennsylvania yelp",94,1
4,"Neighborhood Joints","The Village Café","Richmond, Virginia",2008-03-31,"The Village Café Richmond Virginia yelp",95,1
5,"A World of Flavors","Chino Bandido","Phoenix, Arizona",2008-04-07,"Chino Bandido Phoenix Arizona yelp",96,1
5,"A World of Flavors","Marietta Diner","Marietta, Georgia",2008-04-07,"Marietta Diner Marietta Georgia yelp",97,1
5,"A World of Flavors","YJ's Snack Bar","Kansas City, Missouri",2008-04-07,"YJ's Snack Bar Kansas City Missouri yelp",98,1
6,"Something Different","Scully's Tavern","Miami, Florida",2008-04-14,"Scully's Tavern Miami Florida yelp",99,1
6,"Something Different","Dot's Back Inn","Richmond, Virginia",2008-04-14,"Dot's Back Inn Richmond Virginia yelp",100,1
6,"Something Different","Hillbilly Hot Dogs","Lesage, West Virginia",2008-04-14,"Hillbilly Hot Dogs Lesage West Virginia yelp",101,2
7,"American Classics","11th Street Diner","Miami Beach, Florida",2008-05-18,"11th Street Diner Miami Beach Florida yelp",102,1
7,"American Classics","Bobo Drive-In","Topeka, Kansas",2008-05-18,"Bobo Drive-In Topeka Kansas yelp",103,1
7,"American Classics","Little Tea Shop","Memphis, Tennessee",2008-05-18,"Little Tea Shop Memphis Tennessee yelp",104,1
8,"Real Deal Fast Food","Panini Pete's","Fairhope, Alabama",2008-05-19,"Panini Pete's Fairhope Alabama yelp",105,1
