"ep_number","ep_title","restaurant","location","ep_air_date","google_string","freq_visited","index","yelp_string"
4,"Bringin’ It Home","Cafe Citti","Kenwood, California",2010-05-17,"Cafe Citti Kenwood California yelp",1,324,"cafe-citti-kenwood"
4,"Bringin’ It Home","Cabo Fish Taco","Charlotte, North Carolina",2010-05-17,"Cabo Fish Taco Charlotte North Carolina yelp",1,325,"cabo-fish-taco-charlotte"
4,"Bringin’ It Home","Murphy's Bar & Grill","Honolulu, Hawaii",2010-05-17,"Murphy's Bar & Grill Honolulu Hawaii yelp",1,326,"murphys-bar-and-grill-honolulu"
5,"Porkapalooza","At Last Cafe","Long Beach, California",2010-05-24,"At Last Cafe Long Beach California yelp",1,327,"at-last-cafe-long-beach"
5,"Porkapalooza","Virgil's Cafe","Bellevue, Kentucky",2010-05-24,"Virgil's Cafe Bellevue Kentucky yelp",1,328,"virgils-cafe-bellevue"
5,"Porkapalooza","Martin's Bar-B-Que Joint","Nolensville, Tennessee",2010-05-24,"Martin's Bar-B-Que Joint Nolensville Tennessee yelp",1,329,"martins-bar-b-que-joint-nolensville-4"
6,"Grilled, Smoked & Sauced","Terry's Turf Club","Cincinnati, Ohio",2010-05-31,"Terry's Turf Club Cincinnati Ohio yelp",2,330,"terrys-turf-club-cincinnati"
6,"Grilled, Smoked & Sauced","Schellville Grille","Sonoma, California",2010-05-31,"Schellville Grille Sonoma California yelp",1,331,"schellville-grill-sonoma-2"
6,"Grilled, Smoked & Sauced","Jake's Good Eats","Charlotte, North Carolina",2010-05-31,"Jake's Good Eats Charlotte North Carolina yelp",1,332,"jakes-good-eats-charlotte"
7,"Comfort Food With Attitude","Jax At The Trax","Truckee, California",2010-06-07,"Jax At The Trax Truckee California yelp",1,333,"jax-truckee-diner-truckee"
7,"Comfort Food With Attitude","Culhane's Irish Pub","Atlantic Beach, Florida",2010-06-07,"Culhane's Irish Pub Atlantic Beach Florida yelp",1,334,"culhanes-irish-pub-atlantic-beach"
7,"Comfort Food With Attitude","Blue Ash Chili Restaurant","Cincinnati, Ohio",2010-06-07,"Blue Ash Chili Restaurant Cincinnati Ohio yelp",1,335,"blue-ash-chili-cincinnati"
8,"Fast Food Their Way","Don Chow Tacos","Los Angeles, California",2010-06-21,"Don Chow Tacos Los Angeles California yelp",2,336,"don-chow-tacos-los-angeles"
8,"Fast Food Their Way","Rainbow Drive-In","Honolulu, Hawaii",2010-06-21,"Rainbow Drive-In Honolulu Hawaii yelp",2,337,"rainbow-drive-in-honolulu"
8,"Fast Food Their Way","Northern Waters Smokehaus","Duluth, Minnesota",2010-06-21,"Northern Waters Smokehaus Duluth Minnesota yelp",1,338,"northern-waters-smokehaus-duluth"
9,"Farm To Table","Blackwater Grill","St. Simons Island, Georgia",2010-06-28,"Blackwater Grill St. Simons Island Georgia yelp",1,339,"blackwater-grill-saint-simons-island-3"
9,"Farm To Table","Comet Ping Pong","Washington D.C.",2010-06-28,"Comet Ping Pong Washington D.C. yelp",1,340,"comet-ping-pong-washington"
9,"Farm To Table","Wallace Station","Versailles, Kentucky",2010-06-28,"Wallace Station Versailles Kentucky yelp",1,341,"wallace-station-deli-and-bakery-versailles"
10,"Kansas City Barbeque Tour","Smokin' Guns BBQ","North Kansas City, Missouri",2010-07-12,"Smokin' Guns BBQ North Kansas City Missouri yelp",1,342,"smokin-guns-bbq-and-catering-north-kansas-city"
10,"Kansas City Barbeque Tour","RJ's Bob-Be-Que Shack","Mission, Kansas",2010-07-12,"RJ's Bob-Be-Que Shack Mission Kansas yelp",1,343,"rjs-bob-be-que-shack-mission"
10,"Kansas City Barbeque Tour","Johnny's Bar-B-Q","Mission, Kansas",2010-07-12,"Johnny's Bar-B-Q Mission Kansas yelp",1,344,"johnnys-bbq-shawnee-mission-3"
10,"Kansas City Barbeque Tour","Woodyard Bar-B-Que","Kansas City, Kansas",2010-07-12,"Woodyard Bar-B-Que Kansas City Kansas yelp",1,345,"woodyard-bar-b-que-kansas-city-3"
11,"Burgers ‘n More","Swagger Fine Spirits & Food","Kansas City, Missouri",2010-07-19,"Swagger Fine Spirits & Food Kansas City Missouri yelp",1,346,"swagger-fine-spirits-and-food-kansas-city"
11,"Burgers ‘n More","Burger Me!","Truckee, California",2010-07-19,"Burger Me! Truckee California yelp",1,347,"burger-me-truckee"
11,"Burgers ‘n More","Athens Family Restaurant","Nashville, Tennessee",2010-07-19,"Athens Family Restaurant Nashville Tennessee yelp",1,348,"athens-family-restaurant-nashville"
12,"You Called It","Paul's Coffee Shop","Fountain Valley, California",2010-07-26,"Paul's Coffee Shop Fountain Valley California yelp",2,349,"pauls-coffee-shop-fountain-valley"
12,"You Called It","Rick's White Light Diner","Frankfort, Kentucky",2010-07-26,"Rick's White Light Diner Frankfort Kentucky yelp",2,350,"ricks-white-light-diner-frankfort"
12,"You Called It","Gordy's Hi-Hat","Cloquet, Minnesota",2010-07-26,"Gordy's Hi-Hat Cloquet Minnesota yelp",1,351,"gordys-hi-hat-drive-inn-cloquet"
13,"Old Time Attitude","Arnold's Country Kitchen","Nashville, Tennessee",2010-08-09,"Arnold's Country Kitchen Nashville Tennessee yelp",1,352,"arnolds-country-kitchen-nashville"
13,"Old Time Attitude","Southern Soul Barbeque","St. Simons Island, Georgia",2010-08-09,"Southern Soul Barbeque St. Simons Island Georgia yelp",1,353,"southern-soul-barbeque-saint-simons-island-2"
13,"Old Time Attitude","Maine Diner","Wells, Maine",2010-08-09,"Maine Diner Wells Maine yelp",1,354,"maine-diner-wells-2"
1,"Family Joints","Kramarczuk's","Minneapolis, Minnesota",2010-08-30,"Kramarczuk's Minneapolis Minnesota yelp",1,355,"kramarczuks-sausage-company-minneapolis"
1,"Family Joints","Happy Gillis Cafe & Hangout","Kansas City, Missouri",2010-08-30,"Happy Gillis Cafe & Hangout Kansas City Missouri yelp",1,356,"happy-gillis-cafe-and-hangout-kansas-city"
2,"Tried and True","Mama Cozza's","Anaheim, California",2010-09-09,"Mama Cozza's Anaheim California yelp",1,357,"mama-cozzas-anaheim"
2,"Tried and True","Tune In Restaurant","Washington D.C.",2010-09-09,"Tune In Restaurant Washington D.C. yelp",1,358,"tune-inn-washington"
2,"Tried and True","Bob's Clam Hut","Kittery, Maine",2010-09-09,"Bob's Clam Hut Kittery Maine yelp",2,359,"bobs-clam-hut-kittery-2"
3,"Timeless","Greek Corner Restaurant","Cambridge, Massachusetts",2010-09-13,"Greek Corner Restaurant Cambridge Massachusetts yelp",1,360,"greek-corner-restaurant-cambridge"
3,"Timeless","Bro's Cajun Cuisine","Nashville, Tennessee",2010-09-13,"Bro's Cajun Cuisine Nashville Tennessee yelp",1,361,"bros-cajun-cuisine-nashville"
3,"Timeless","The General Store","Silver Spring, Maryland",2010-09-13,"The General Store Silver Spring Maryland yelp",1,362,"the-general-store-silver-spring"
4,"You Found ‘Em","Parkette Drive In","Lexington, Kentucky",2010-09-20,"Parkette Drive In Lexington Kentucky yelp",1,363,"parkette-drive-in-lexington"
4,"You Found ‘Em","Metro Diner","Jacksonville, Florida",2010-09-20,"Metro Diner Jacksonville Florida yelp",1,364,"metro-diner-jacksonville"
5,"Wings, Dogs and Claws","The Lobster Shanty","Salem, Massachusetts",2010-09-27,"The Lobster Shanty Salem Massachusetts yelp",1,365,"the-lobster-shanty-salem"
5,"Wings, Dogs and Claws","The Brick","Kansas City, Missouri",2010-09-27,"The Brick Kansas City Missouri yelp",1,366,"the-brick-kansas-city"
5,"Wings, Dogs and Claws","Oohh's & Aahh's Gourmet Deli","Washington D.C.",2010-09-27,"Oohh's & Aahh's Gourmet Deli Washington D.C. yelp",1,367,"oohhs-and-aahhs-washington"
6,"Sauced and Spiced","J.J. McBrewster's","Lexington, Kentucky",2010-10-04,"J.J. McBrewster's Lexington Kentucky yelp",1,368,"jj-mcbrewsters-lexington"
6,"Sauced and Spiced","At Sara's Table Chester Creek Cafe","Duluth, Minnesota",2010-10-04,"At Sara's Table Chester Creek Cafe Duluth Minnesota yelp",1,369,"at-saras-table-chester-creek-cafe-duluth-2"
6,"Sauced and Spiced","Cafe Rakka","Hendersonville, Tennessee",2010-10-04,"Cafe Rakka Hendersonville Tennessee yelp",1,370,"cafe-rakka-hendersonville"
7,"Made to Order","Rino's Place","East Boston, Massachusetts",2010-10-25,"Rino's Place East Boston Massachusetts yelp",1,371,"rinos-place-boston"
7,"Made to Order","The Blue Door Pub","St. Paul, Minnesota",2010-10-25,"The Blue Door Pub St. Paul Minnesota yelp",1,372,"the-blue-door-pub-saint-paul"
8,"Fresh, Filled and Fried","Chaps Coffee Co.","Spokane, Washington",2010-11-01,"Chaps Coffee Co. Spokane Washington yelp",1,373,"chaps-coffee-spokane"
8,"Fresh, Filled and Fried","Good Dog Bar & Restaurant","Philadelphia, Pennsylvania",2010-11-01,"Good Dog Bar & Restaurant Philadelphia Pennsylvania yelp",1,374,"good-dog-bar-philadelphia"
8,"Fresh, Filled and Fried","Porthole Restaurant","Portland, Maine",2010-11-01,"Porthole Restaurant Portland Maine yelp",1,375,"the-porthole-restaurant-and-pub-portland"
9,"Gone Global","LaCaraquena","Falls Church, Virginia",2010-11-08,"LaCaraquena Falls Church Virginia yelp",1,376,"la-caraquena-falls-church-2"
9,"Gone Global","Savarino's Cucina","Nashville, Tennessee",2010-11-08,"Savarino's Cucina Nashville Tennessee yelp",1,377,"savarinos-cucina-nashville"
9,"Gone Global","Brats Brothers","Sherman Oaks, California",2010-11-08,"Brats Brothers Sherman Oaks California yelp",1,378,"brats-brothers-sherman-oaks"
10,"A Triple D Thanksgiving","George's Place","Cape May, New Jersey",2010-11-15,"George's Place Cape May New Jersey yelp",1,379,"georges-place-cape-may"
10,"A Triple D Thanksgiving","Becky's Diner","Portland, Maine",2010-11-15,"Becky's Diner Portland Maine yelp",1,380,"beckys-diner-portland"
10,"A Triple D Thanksgiving","Sammy's Food Service & Deli","New Orleans, Louisiana",2010-11-15,"Sammy's Food Service & Deli New Orleans Louisiana yelp",1,381,"sammys-food-service-and-deli-new-orleans"
11,"Sweet ‘n Savory","Meal Ticket","Berkeley, California",2010-11-26,"Meal Ticket Berkeley California yelp",1,382,"meal-ticket-berkeley"
11,"Sweet ‘n Savory","Metro 29 Diner","Arlington, Virginia",2010-11-26,"Metro 29 Diner Arlington Virginia yelp",1,383,"metro-29-diner-restaurant-arlington"
11,"Sweet ‘n Savory","Duluth Grill","Duluth, Minnesota",2010-11-26,"Duluth Grill Duluth Minnesota yelp",1,384,"duluth-grill-duluth"
12,"Wings ‘n Things","10th Avenue Burrito","Belmar, New Jersey",2010-12-13,"10th Avenue Burrito Belmar New Jersey yelp",1,385,"10th-avenue-burrito-co-belmar"
12,"Wings ‘n Things","Capone's Pub","Coeur d’Alene, Idaho",2010-12-13,"Capone's Pub Coeur d'Alene Idaho yelp",1,386,"capones-pub-and-grill-coeur-d-alene"
12,"Wings ‘n Things","Jamaicaway","Nashville, Tennessee",2010-12-13,"Jamaicaway Nashville Tennessee yelp",1,387,"jamaicaway-restaurant-and-catering-nashville-2"
13,"Sandwiches Plus","Elk Public House","Spokane, Washington",2010-12-18,"Elk Public House Spokane Washington yelp",1,388,"the-elk-public-house-spokane"
13,"Sandwiches Plus","Colossal Cafe","Minneapolis, Minnesota",2010-12-18,"Colossal Cafe Minneapolis Minnesota yelp",1,389,"colossal-caf%25C3%25A9-saint-paul-2"
13,"Sandwiches Plus","Maui's Dog House","Wildwood, New Jersey",2010-12-18,"Maui's Dog House Wildwood New Jersey yelp",1,390,"mauis-dog-house-north-wildwood"
1,"From Pork to Tofu","Tortilla Cafe","Washington D.C.",2011-01-03,"Tortilla Cafe Washington D.C. yelp",1,391,"tortilla-cafe-washington"
1,"From Pork to Tofu","Memphis Taproom","Philadelphia, Pennsylvania",2011-01-03,"Memphis Taproom Philadelphia Pennsylvania yelp",1,392,"memphis-taproom-philadelphia"
1,"From Pork to Tofu","The Golden Bear","Sacramento, California",2011-01-03,"The Golden Bear Sacramento California yelp",1,393,"the-golden-bear-sacramento"
2,"Po’ Boys, Pasta & Pork","Mahoney's Po-Boy Shop","New Orleans, Louisiana",2011-01-10,"Mahoney's Po-Boy Shop New Orleans Louisiana yelp",1,394,"mahonys-po-boys-and-seafood-new-orleans"
2,"Po’ Boys, Pasta & Pork","Hill's Restaurant & Lounge","Spokane, Washington",2011-01-10,"Hill's Restaurant & Lounge Spokane Washington yelp",1,395,"hills-restaurant-and-lounge-spokane-2"
2,"Po’ Boys, Pasta & Pork","Q Fanatic BBQ","Champlin, Minnesota",2011-01-10,"Q Fanatic BBQ Champlin Minnesota yelp",1,396,"q-fanatic-champlin"
3,"Funky Finds","Sage General Store","Queens, New York",2011-01-17,"Sage General Store Queens New York yelp",1,397,"sage-roadhouse-long-island-city"
3,"Funky Finds","Quahog's Seafood Shack","Stone Harbor, New Jersey",2011-01-17,"Quahog's Seafood Shack Stone Harbor New Jersey yelp",1,398,"quahogs-seafood-shack-stone-harbor"
3,"Funky Finds","W.O.W. - Worth Our Weight","Santa Rosa, California",2011-01-17,"W.O.W. - Worth Our Weight Santa Rosa California yelp",1,399,"worth-our-weight-santa-rosa"
4,"Quirky Classics","Louie & The Red Head Lady","Mandeville, Louisiana",2011-01-24,"Louie & The Red Head Lady Mandeville Louisiana yelp",1,400,"louie-and-the-redhead-lady-mandeville-3"
4,"Quirky Classics","Honey's Sit-N-Eat","Philadelphia, Pennsylvania",2011-01-24,"Honey's Sit-N-Eat Philadelphia Pennsylvania yelp",1,401,"honeys-sit-n-eat-philadelphia"
4,"Quirky Classics","Picabu Neighborhood Bistro","Spokane, Washington",2011-01-24,"Picabu Neighborhood Bistro Spokane Washington yelp",1,402,"picabu-neighborhood-bistro-spokane"
5,"A Little Twisted","The Pit Stop","Merrick, New York",2011-01-31,"The Pit Stop Merrick New York yelp",1,403,"the-pit-stop-merrick"
5,"A Little Twisted","Gatsby's Diner","Sacramento, California",2011-01-31,"Gatsby's Diner Sacramento California yelp",1,404,"gatsbys-diner-sacramento"
5,"A Little Twisted","Anchor Bar","Superior, Wisconsin",2011-01-31,"Anchor Bar Superior Wisconsin yelp",1,405,"anchor-bar-superior"
6,"Signature Sandwiches","La Pines Cafe","Slidell, Louisiana",2011-02-07,"La Pines Cafe Slidell Louisiana yelp",1,406,"la-pines-cafe-slidell"
6,"Signature Sandwiches","Steuben's Food Service","Denver, Colorado",2011-02-07,"Steuben's Food Service Denver Colorado yelp",1,407,"steubens-food-service-denver"
6,"Signature Sandwiches","3 Sisters Cafe","Indianapolis, Indiana",2011-02-07,"3 Sisters Cafe Indianapolis Indiana yelp",1,408,"3-sisters-caf%25C3%25A9-indianapolis-2"
7,"Favorites With A Twist","Jimmy's Down the Street","Coeur d’Alene, Idaho",2011-02-28,"Jimmy's Down the Street Coeur d'Alene Idaho yelp",1,409,"jimmys-down-the-street-coeur-d-alene"
7,"Favorites With A Twist","Aunt Mary's Cafe","Oakland, California",2011-02-28,"Aunt Mary's Cafe Oakland California yelp",1,410,"aunt-marys-caf%25C3%25A9-oakland-5"
7,"Favorites With A Twist","Corey's Catsup & Mustard","Manchester, Connecticut",2011-02-28,"Corey's Catsup & Mustard Manchester Connecticut yelp",1,411,"coreys-catsup-and-mustard-manchester"
8,"Soup & Sandwiches","Pineville Tavern","Pineville, Pennsylvania",2011-03-07,"Pineville Tavern Pineville Pennsylvania yelp",1,412,"pineville-tavern-pineville"
8,"Soup & Sandwiches","Indy's Historic Steer-In Restaurant","Indianapolis, Indiana",2011-03-07,"Indy's Historic Steer-In Restaurant Indianapolis Indiana yelp",1,413,"indys-historic-steer-in-restaurant-indianapolis-2"
8,"Soup & Sandwiches","Dad's Kitchen","Sacramento, California",2011-03-07,"Dad's Kitchen Sacramento California yelp",1,414,"dads-kitchen-sacramento-3"
9,"From Crepes to Kreplach","Ben's Best Deli","Queens, New York",2011-03-14,"Ben's Best Deli Queens New York yelp",1,415,"bens-best-rego-park-2"
9,"From Crepes to Kreplach","Foolish Craig's Cafe","Boulder, Colorado",2011-03-14,"Foolish Craig's Cafe Boulder Colorado yelp",1,416,"foolish-craigs-boulder"
9,"From Crepes to Kreplach","Waddell's Pub & Grille","Spokane, Washington",2011-03-14,"Waddell's Pub & Grille Spokane Washington yelp",1,417,"waddells-pub-and-grill-spokane"
10,"Fully Loaded","Katie's Restaurant","New Orleans, Louisiana",2011-03-21,"Katie's Restaurant New Orleans Louisiana yelp",1,418,"katies-restaurant-and-bar-new-orleans"
10,"Fully Loaded","Jersey Cafe","Carmel, Indiana",2011-03-21,"Jersey Cafe Carmel Indiana yelp",1,419,"jerseys-cafe-carmel-2"
10,"Fully Loaded","Merritt Canteen Inc.","Bridgeport, Connecticut",2011-03-21,"Merritt Canteen Inc. Bridgeport Connecticut yelp",1,420,"merritt-canteen-bridgeport"
11,"From Mozz to Matzo Balls","Sunflower Cafe","Sonoma, California",2011-03-28,"Sunflower Cafe Sonoma California yelp",1,421,"sunflower-caffe-sonoma"
11,"From Mozz to Matzo Balls","Hildebrandt's","Williston Park, New York",2011-03-28,"Hildebrandt's Williston Park New York yelp",1,422,"hildebrandts-williston-park"
11,"From Mozz to Matzo Balls","The Bagel Delicatessen & Restaurant","Denver, Colorado",2011-03-28,"The Bagel Delicatessen & Restaurant Denver Colorado yelp",2,423,"the-bagel-deli-and-restaurant-denver-3"
12,"Signature Twists","The Barking Dog","Indianapolis, Indiana",2011-04-04,"The Barking Dog Indianapolis Indiana yelp",1,424,"barking-dog-cafe-indianapolis"
12,"Signature Twists","Putah Creek Cafe","Winters, California",2011-04-04,"Putah Creek Cafe Winters California yelp",1,425,"putah-creek-cafe-winters"
12,"Signature Twists","The Old Coffee Pot Restaurant","New Orleans, Louisiana",2011-04-04,"The Old Coffee Pot Restaurant New Orleans Louisiana yelp",1,426,"the-old-coffee-pot-restaurant-new-orleans"
13,"Porktastic","Jimtown Store","Healdsburg, California",2011-04-11,"Jimtown Store Healdsburg California yelp",1,427,"jimtown-store-healdsburg-2"
13,"Porktastic","Dough Pizzeria Napoletana","San Antonio, Texas",2011-04-11,"Dough Pizzeria Napoletana San Antonio Texas yelp",2,428,"dough-pizzeria-napoletana-san-antonio"
13,"Porktastic","Sam's No. 3","Denver, Colorado",2011-04-11,"Sam's No. 3 Denver Colorado yelp",1,429,"sams-no-3-downtown-denver"
1,"Bar Food and Bon Bons","The Sparrow Tavern","Queens, New York",2011-05-09,"The Sparrow Tavern Queens New York yelp",1,430,"the-sparrow-tavern-astoria"
1,"Bar Food and Bon Bons","Catelli's","Geyserville, California",2011-05-09,"Catelli's Geyserville California yelp",1,431,"catellis-geyserville-4"
1,"Bar Food and Bon Bons","Zest","Indianapolis, Indiana",2011-05-09,"Zest Indianapolis Indiana yelp",1,432,"zest-exciting-food-creations-indianapolis-3"
2,"From Kraut to Couscous","Lauer-Krauts","Brighton, Colorado",2011-05-16,"Lauer-Krauts Brighton Colorado yelp",1,433,"lauer-krauts-brighton"
2,"From Kraut to Couscous","Moroccan Bites","San Antonio, Texas",2011-05-16,"Moroccan Bites San Antonio Texas yelp",1,434,"moroccan-bites-san-antonio"
2,"From Kraut to Couscous","California Tacos To Go","Tampa, Florida",2011-05-16,"California Tacos To Go Tampa Florida yelp",1,435,"california-tacos-to-go-tampa-5"
3,"You Can Only Get It Here","HRD Coffee Shop","San Francisco, California",2011-05-23,"HRD Coffee Shop San Francisco California yelp",1,436,"hrd-san-francisco-4"
3,"You Can Only Get It Here","The Tamale Place","Indianapolis, Indiana",2011-05-23,"The Tamale Place Indianapolis Indiana yelp",1,437,"the-tamale-place-indianapolis"
3,"You Can Only Get It Here","Garifuna Flava","Chicago, Illinois",2011-05-23,"Garifuna Flava Chicago Illinois yelp",1,438,"garifuna-flava-chicago"
4,"Grillin’ and Smokin’","Bun 'N Barrel","San Antonio, Texas",2011-09-12,"Bun 'N Barrel San Antonio Texas yelp",1,439,NA
4,"Grillin’ and Smokin’","Tocabe American Indian Eatery","Denver, Colorado",2011-09-12,"Tocabe American Indian Eatery Denver Colorado yelp",2,440,"tocabe-american-indian-eatery-denver"
4,"Grillin’ and Smokin’","Munch's Restaurant & Sundries","St. Petersburg, Florida",2011-09-12,"Munch's Restaurant & Sundries St. Petersburg Florida yelp",1,441,"munchs-sundries-and-restaurant-saint-petersburg"
5,"Southern Flavor","Broken Record","San Francisco, California",2011-09-19,"Broken Record San Francisco California yelp",1,442,"broken-record-san-francisco"
5,"Southern Flavor","Bang!","Denver, Colorado",2011-09-19,"Bang! Denver Colorado yelp",1,443,"bang-denver"
5,"Southern Flavor","Jose's Real Cuban Food","Bradenton, Florida",2011-09-19,"Jose's Real Cuban Food Bradenton Florida yelp",1,444,"joses-real-cuban-food-bradenton"
6,"Gettin’ Fresh","The Sink","Boulder, Colorado",2011-09-26,"The Sink Boulder Colorado yelp",1,445,"the-sink-boulder"
6,"Gettin’ Fresh","Nana Organic","Chicago, Illinois",2011-09-26,"Nana Organic Chicago Illinois yelp",1,446,"nana-chicago"
6,"Gettin’ Fresh","Get Fresh Cafe","Norfolk, Virginia",2011-09-26,"Get Fresh Cafe Norfolk Virginia yelp",1,447,"get-fresh-cafe-norfolk"
7,"Homemade & Homebrewed","Tampa Bay Brewing Co.","Tampa, Florida",2011-10-03,"Tampa Bay Brewing Co. Tampa Florida yelp",1,448,"tampa-bay-brewing-company-tampa"
7,"Homemade & Homebrewed","Zydeco's","Mooresville, Indiana",2011-10-03,"Zydeco's Mooresville Indiana yelp",2,449,"zydecos-mooresville"
7,"Homemade & Homebrewed","Chilam Balam","Chicago, Illinois",2011-10-03,"Chilam Balam Chicago Illinois yelp",1,450,"chilam-balam-chicago-2"
8,"Latin Street Food","Irazu","Chicago, Illinois",2011-10-10,"Irazu Chicago Illinois yelp",1,451,"irazu-costa-rican-restaurant-chicago-2"
8,"Latin Street Food","Beto's Comida Latina","San Antonio, Texas",2011-10-10,"Beto's Comida Latina San Antonio Texas yelp",1,452,"betos-alt-mex-san-antonio"
8,"Latin Street Food","Tortilleria Nixtamal","Queens, New York",2011-10-10,"Tortilleria Nixtamal Queens New York yelp",1,453,"tortilleria-nixtamal-corona-4"
9,"Slammin' Sammies","Taco Taco Mexican Restaurant","San Antonio, Texas",2011-10-17,"Taco Taco Mexican Restaurant San Antonio Texas yelp",1,454,"taco-taco-cafe-san-antonio"
9,"Slammin' Sammies","Whitner's Barbeque","Virginia Beach, Virginia",2011-10-17,"Whitner's Barbeque Virginia Beach Virginia yelp",1,455,"whitners-barbecue-virginia-beach"
9,"Slammin' Sammies","DMK Burger Bar","Chicago, Illinois",2011-10-17,"DMK Burger Bar Chicago Illinois yelp",1,456,"dmk-burger-bar-chicago"
10,"Global Comfort","Rigoletto Italian Bakery & Cafe","Virginia Beach, Virginia",2011-10-24,"Rigoletto Italian Bakery & Cafe Virginia Beach Virginia yelp",2,457,"rigoletto-italian-bakery-virginia-beach"
10,"Global Comfort","Chuck's Southern Comforts Cafe","Burbank, Illinois",2011-10-24,"Chuck's Southern Comforts Cafe Burbank Illinois yelp",1,458,"chucks-southern-comforts-caf%25C3%25A9-burbank-2"
10,"Global Comfort","El Bohio","San Antonio, Texas",2011-10-24,"El Bohio San Antonio Texas yelp",1,459,"el-bohio-san-antonio-2"
11,"Breakfast, Lunch & Dinner","Magnolia Pancake Haus","San Antonio, Texas",2011-10-31,"Magnolia Pancake Haus San Antonio Texas yelp",1,460,"the-magnolia-pancake-haus-san-antonio"
11,"Breakfast, Lunch & Dinner","Taco Bus","Tampa, Florida",2011-10-31,"Taco Bus Tampa Florida yelp",1,461,"taco-bus-tampa-8"
11,"Breakfast, Lunch & Dinner","Beach Pub","Virginia Beach, Virginia",2011-10-31,"Beach Pub Virginia Beach Virginia yelp",1,462,"beach-pub-virginia-beach"
12,"Pizza, Pancakes & Pork","Supino Pizzeria","Detroit, Michigan",2011-11-07,"Supino Pizzeria Detroit Michigan yelp",2,463,"supino-pizzeria-detroit"
12,"Pizza, Pancakes & Pork","Big & Littles","Chicago, Illinois",2011-11-07,"Big & Littles Chicago Illinois yelp",1,464,"big-and-littles-restaurant-chicago-3"
12,"Pizza, Pancakes & Pork","Citrus Breakfast & Lunch","Virginia Beach, Virginia",2011-11-07,"Citrus Breakfast & Lunch Virginia Beach Virginia yelp",1,465,"citrus-virginia-beach"
13,"Old to New","Polish Village Cafe","Hamtramck, Michigan",2011-11-21,"Polish Village Cafe Hamtramck Michigan yelp",1,466,"polish-village-cafe-hamtramck-5"
13,"Old to New","Leaping Lizards Cafe","Virginia Beach, Virginia",2011-11-21,"Leaping Lizards Cafe Virginia Beach Virginia yelp",1,467,"leaping-lizard-cafe-virginia-beach"
13,"Old to New","Jethros Fine Grub","Vancouver, British Columbia",2011-11-21,"Jethros Fine Grub Vancouver British Columbia yelp",1,468,"jethros-fine-grub-vancouver"
1,"Seafood & Sammies","Fresh Local Wild","Vancouver, British Columbia",2011-11-28,"Fresh Local Wild Vancouver British Columbia yelp",2,469,"wildtale-coastal-grill-vancouver"
1,"Seafood & Sammies","Traffic Jam & Snug","Detroit, Michigan",2011-11-28,"Traffic Jam & Snug Detroit Michigan yelp",1,470,"traffic-jam-and-snug-detroit-3"
1,"Seafood & Sammies","Panozzo's Italian Market","Chicago, Illinois",2011-11-28,"Panozzo's Italian Market Chicago Illinois yelp",1,471,"panozzos-italian-market-chicago"
2,"Coast to Coast Classics","Tomahawk Restaurant","North Vancouver, British Columbia",2011-12-05,"Tomahawk Restaurant North Vancouver British Columbia yelp",1,472,"tomahawk-barbeque-north-vancouver"
2,"Coast to Coast Classics","Danny's All American Diner","Tampa, Florida",2011-12-05,"Danny's All American Diner Tampa Florida yelp",1,473,"dannys-all-american-diner-and-dairy-bar-tampa-2"
3,"Kid Rock's Detroit Tour","Clarkston Union Bar & Kitchen","Clarkston, Michigan",2011-12-12,"Clarkston Union Bar & Kitchen Clarkston Michigan yelp",1,474,"clarkston-union-bar-and-kitchen-clarkston"
3,"Kid Rock's Detroit Tour","Union Woodshop","Clarkston, Michigan",2011-12-12,"Union Woodshop Clarkston Michigan yelp",1,475,"union-woodshop-clarkston"
3,"Kid Rock's Detroit Tour","Michigan Brewing Co.","Webberville, Michigan",2011-12-12,"Michigan Brewing Co. Webberville Michigan yelp",1,476,"michigan-brewing-company-webberville"
4,"Southern Staples","Red Wagon Cafe","Vancouver, British Columbia",2011-12-19,"Red Wagon Cafe Vancouver British Columbia yelp",1,477,"the-red-wagon-vancouver"
4,"Southern Staples","Perfectly Franks","Summerville, South Carolina",2011-12-19,"Perfectly Franks Summerville South Carolina yelp",1,478,"perfectly-franks-summerville"
4,"Southern Staples","Mama's Food Shop","Manhattan, New York",2011-12-19,"Mama's Food Shop Manhattan New York yelp",1,479,"mamas-food-shop-new-york-2"
5,"Scratch Made Classics","Lito's Mexican Restaurant","Santa Barbara, California",2011-12-26,"Lito's Mexican Restaurant Santa Barbara California yelp",1,480,"litos-take-out-santa-barbara"
5,"Scratch Made Classics","Save On Meats","Vancouver, British Columbia",2011-12-26,"Save On Meats Vancouver British Columbia yelp",1,481,"save-on-meats-vancouver"
5,"Scratch Made Classics","The Redhead","Manhattan, New York",2011-12-26,"The Redhead Manhattan New York yelp",1,482,"the-redhead-new-york"
6,"Meat Madness","Rincon Criollo","Queens, New York",2012-01-16,"Rincon Criollo Queens New York yelp",2,483,"rincon-criollo-corona"
6,"Meat Madness","Tattooed Moose","Charleston, South Carolina",2012-01-16,"Tattooed Moose Charleston South Carolina yelp",1,484,"tattooed-moose-charleston"
6,"Meat Madness","Falconetti's","Vancouver, British Columbia",2012-01-16,"Falconetti's Vancouver British Columbia yelp",1,485,"falconettis-east-side-grill-vancouver"
