"ep_number","ep_title","restaurant","location","ep_air_date","google_string","freq_visited","index","yelp_string"
5,"A World of Flavors","Chino Bandido","Phoenix, Arizona",2008-04-07,"Chino Bandido Phoenix Arizona yelp",1,96,"chino-bandido-phoenix-3"
5,"A World of Flavors","Marietta Diner","Marietta, Georgia",2008-04-07,"Marietta Diner Marietta Georgia yelp",1,97,"marietta-diner-marietta-2"
5,"A World of Flavors","YJ's Snack Bar","Kansas City, Missouri",2008-04-07,"YJ's Snack Bar Kansas City Missouri yelp",1,98,"yjs-snack-bar-kansas-city"
6,"Something Different","Scully's Tavern","Miami, Florida",2008-04-14,"Scully's Tavern Miami Florida yelp",1,99,NA
6,"Something Different","Dot's Back Inn","Richmond, Virginia",2008-04-14,"Dot's Back Inn Richmond Virginia yelp",1,100,"dots-back-inn-richmond"
6,"Something Different","Hillbilly Hot Dogs","Lesage, West Virginia",2008-04-14,"Hillbilly Hot Dogs Lesage West Virginia yelp",2,101,"hillbilly-hot-dogs-lesage"
7,"American Classics","11th Street Diner","Miami Beach, Florida",2008-05-18,"11th Street Diner Miami Beach Florida yelp",1,102,"11th-street-diner-miami-beach-2"
7,"American Classics","Bobo Drive-In","Topeka, Kansas",2008-05-18,"Bobo Drive-In Topeka Kansas yelp",1,103,"bobos-drive-in-topeka"
7,"American Classics","Little Tea Shop","Memphis, Tennessee",2008-05-18,"Little Tea Shop Memphis Tennessee yelp",1,104,"the-little-tea-shop-memphis"
8,"Real Deal Fast Food","Panini Pete's","Fairhope, Alabama",2008-05-19,"Panini Pete's Fairhope Alabama yelp",1,105,"panini-petes-fairhope"
8,"Real Deal Fast Food","Joe's Farm Grill","Gilbert, Arizona",2008-05-19,"Joe's Farm Grill Gilbert Arizona yelp",1,106,"joes-farm-grill-gilbert"
8,"Real Deal Fast Food","Maria's Taco Express","Austin, Texas",2008-05-19,"Maria's Taco Express Austin Texas yelp",1,107,"marias-tacos-xpress-austin"
9,"The Memphis BBQ Tour","Cozy Corner","Memphis, Tennessee",2008-05-26,"Cozy Corner Memphis Tennessee yelp",1,108,"cozy-corner-restaurant-memphis-2"
9,"The Memphis BBQ Tour","Leonard's BBQ","Memphis, Tennessee",2008-05-26,"Leonard's BBQ Memphis Tennessee yelp",1,109,"leonards-pit-barbecue-memphis"
9,"The Memphis BBQ Tour","Marlowe's Ribs","Memphis, Tennessee",2008-05-26,"Marlowe's Ribs Memphis Tennessee yelp",1,110,"marlowes-ribs-and-restaurant-memphis-2"
9,"The Memphis BBQ Tour","Tom's Bar-B-Q","Memphis, Tennessee",2008-05-26,"Tom's Bar-B-Q Memphis Tennessee yelp",2,111,"toms-barbecue-and-deli-memphis-3"
10,"Comfort Food","Grampa's Bakery & Restaurant","Dania Beach, Florida",2008-06-15,"Grampa's Bakery & Restaurant Dania Beach Florida yelp",1,112,"grampas-bakery-and-restaurant-dania-beach"
10,"Comfort Food","Blue Moon Cafe","Baltimore, Maryland",2008-06-15,"Blue Moon Cafe Baltimore Maryland yelp",1,113,"blue-moon-cafe-baltimore"
